loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3979,3.2001523971557617,8.002551020408164e-06,1.0,784,,,,,,,,,,
,,,1.0,784,0.12192554771900177,0.9679341434731478,13.8009,144.991,4.565,,,,,
0.0901,2.827086925506592,6.002551020408164e-06,2.0,1568,,,,,,,,,,
,,,2.0,1568,0.1000121608376503,0.9740885927087417,13.7915,145.09,4.568,,,,,
0.0641,2.572352647781372,4.002551020408163e-06,3.0,2352,,,,,,,,,,
,,,3.0,2352,0.09483066946268082,0.9764406115248923,13.7874,145.132,4.569,,,,,
0.0497,2.3845608234405518,2.0025510204081635e-06,4.0,3136,,,,,,,,,,
,,,4.0,3136,0.09620175510644913,0.9767150137201097,13.7553,145.471,4.58,,,,,
0.0425,2.3031156063079834,2.551020408163266e-09,5.0,3920,,,,,,,,,,
,,,5.0,3920,0.09585273265838623,0.9771070168561349,13.7685,145.332,4.576,,,,,
,,,5.0,3920,,,,,,2020.8027,31.037,1.94,4097688774574080.0,0.1288680650749985
